,LocationID,Borough,Zone
6258,50,Manhattan,Clinton West
6259,211,Manhattan,SoHo
6260,238,Manhattan,Upper West Side North
6261,237,Manhattan,Upper East Side South
6262,48,Manhattan,Clinton East
6263,132,Queens,JFK Airport
6264,186,Manhattan,Penn Station/Madison Sq West
6265,79,Manhattan,East Village
6266,162,Manhattan,Midtown East
6267,79,Manhattan,East Village
6268,234,Manhattan,Union Sq
6269,229,Manhattan,Sutton Place/Turtle Bay North
6270,237,Manhattan,Upper East Side South
6271,75,Manhattan,East Harlem South
6272,238,Manhattan,Upper West Side North
6273,239,Manhattan,Upper West Side South
6274,163,Manhattan,Midtown North
6275,249,Manhattan,West Village
6276,163,Manhattan,Midtown North
6277,68,Manhattan,East Chelsea
6278,79,Manhattan,East Village
6279,41,Manhattan,Central Harlem
6280,142,Manhattan,Lincoln Square East
6281,236,Manhattan,Upper East Side North
6282,239,Manhattan,Upper West Side South
6283,138,Queens,LaGuardia Airport
6284,237,Manhattan,Upper East Side South
6285,158,Manhattan,Meatpacking/West Village West
6286,236,Manhattan,Upper East Side North
6287,264,Unknown,NV
6288,138,Queens,LaGuardia Airport
6289,142,Manhattan,Lincoln Square East
6290,230,Manhattan,Times Sq/Theatre District
6291,142,Manhattan,Lincoln Square East
6292,264,Unknown,NV
6293,132,Queens,JFK Airport
6294,231,Manhattan,TriBeCa/Civic Center
6295,140,Manhattan,Lenox Hill East
6296,229,Manhattan,Sutton Place/Turtle Bay North
6297,68,Manhattan,East Chelsea
6298,141,Manhattan,Lenox Hill West
6299,186,Manhattan,Penn Station/Madison Sq West
6300,132,Queens,JFK Airport
6301,129,Queens,Jackson Heights
6302,79,Manhattan,East Village
6303,137,Manhattan,Kips Bay
6304,68,Manhattan,East Chelsea
6305,223,Queens,Steinway
6306,263,Manhattan,Yorkville West
6307,75,Manhattan,East Harlem South
6308,20,Bronx,Belmont
6309,229,Manhattan,Sutton Place/Turtle Bay North
6310,262,Manhattan,Yorkville East
6311,116,Manhattan,Hamilton Heights
6312,239,Manhattan,Upper West Side South
6313,230,Manhattan,Times Sq/Theatre District
6314,107,Manhattan,Gramercy
6315,158,Manhattan,Meatpacking/West Village West
6316,211,Manhattan,SoHo
6317,236,Manhattan,Upper East Side North
6318,148,Manhattan,Lower East Side
6319,161,Manhattan,Midtown Center
6320,246,Manhattan,West Chelsea/Hudson Yards
6321,68,Manhattan,East Chelsea
6322,132,Queens,JFK Airport
6323,168,Bronx,Mott Haven/Port Morris
6324,75,Manhattan,East Harlem South
6325,230,Manhattan,Times Sq/Theatre District
6326,263,Manhattan,Yorkville West
6327,264,Unknown,NV
6328,144,Manhattan,Little Italy/NoLiTa
6329,90,Manhattan,Flatiron
6330,143,Manhattan,Lincoln Square West
6331,68,Manhattan,East Chelsea
6332,148,Manhattan,Lower East Side
6333,163,Manhattan,Midtown North
6334,43,Manhattan,Central Park
6335,107,Manhattan,Gramercy
6336,162,Manhattan,Midtown East
6337,186,Manhattan,Penn Station/Madison Sq West
6338,163,Manhattan,Midtown North
6339,79,Manhattan,East Village
6340,237,Manhattan,Upper East Side South
6341,68,Manhattan,East Chelsea
6342,41,Manhattan,Central Harlem
6343,158,Manhattan,Meatpacking/West Village West
6344,161,Manhattan,Midtown Center
6345,141,Manhattan,Lenox Hill West
6346,43,Manhattan,Central Park
6347,144,Manhattan,Little Italy/NoLiTa
6348,48,Manhattan,Clinton East
6349,132,Queens,JFK Airport
6350,48,Manhattan,Clinton East
6351,236,Manhattan,Upper East Side North
6352,42,Manhattan,Central Harlem North
6353,87,Manhattan,Financial District North
6354,234,Manhattan,Union Sq
6355,100,Manhattan,Garment District
6356,170,Manhattan,Murray Hill
6357,142,Manhattan,Lincoln Square East
6358,239,Manhattan,Upper West Side South
6359,186,Manhattan,Penn Station/Madison Sq West
6360,138,Queens,LaGuardia Airport
6361,161,Manhattan,Midtown Center
6362,48,Manhattan,Clinton East
6363,144,Manhattan,Little Italy/NoLiTa
6364,141,Manhattan,Lenox Hill West
6365,238,Manhattan,Upper West Side North
6366,236,Manhattan,Upper East Side North
6367,79,Manhattan,East Village
6368,68,Manhattan,East Chelsea
6369,144,Manhattan,Little Italy/NoLiTa
6370,238,Manhattan,Upper West Side North
6371,137,Manhattan,Kips Bay
6372,264,Unknown,NV
6373,236,Manhattan,Upper East Side North
6374,148,Manhattan,Lower East Side
6375,164,Manhattan,Midtown South
6376,68,Manhattan,East Chelsea
6377,142,Manhattan,Lincoln Square East
6378,211,Manhattan,SoHo
6379,142,Manhattan,Lincoln Square East
6380,166,Manhattan,Morningside Heights
6381,237,Manhattan,Upper East Side South
6382,141,Manhattan,Lenox Hill West
6383,234,Manhattan,Union Sq
6384,231,Manhattan,TriBeCa/Civic Center
6385,170,Manhattan,Murray Hill
6386,237,Manhattan,Upper East Side South
6387,68,Manhattan,East Chelsea
6388,233,Manhattan,UN/Turtle Bay South
6389,237,Manhattan,Upper East Side South
6390,132,Queens,JFK Airport
6391,161,Manhattan,Midtown Center
6392,68,Manhattan,East Chelsea
6393,137,Manhattan,Kips Bay
6394,261,Manhattan,World Trade Center
6395,164,Manhattan,Midtown South
6396,230,Manhattan,Times Sq/Theatre District
6397,236,Manhattan,Upper East Side North
6398,138,Queens,LaGuardia Airport
6399,24,Manhattan,Bloomingdale
6400,234,Manhattan,Union Sq
6401,142,Manhattan,Lincoln Square East
6402,79,Manhattan,East Village
6403,262,Manhattan,Yorkville East
6404,132,Queens,JFK Airport
6405,231,Manhattan,TriBeCa/Civic Center
6406,79,Manhattan,East Village
6407,100,Manhattan,Garment District
6408,74,Manhattan,East Harlem North
6409,236,Manhattan,Upper East Side North
6410,239,Manhattan,Upper West Side South
6411,164,Manhattan,Midtown South
6412,238,Manhattan,Upper West Side North
6413,229,Manhattan,Sutton Place/Turtle Bay North
6414,151,Manhattan,Manhattan Valley
6415,170,Manhattan,Murray Hill
6416,239,Manhattan,Upper West Side South
6417,236,Manhattan,Upper East Side North
6418,68,Manhattan,East Chelsea
6419,238,Manhattan,Upper West Side North
6420,132,Queens,JFK Airport
6421,71,Brooklyn,East Flatbush/Farragut
6422,231,Manhattan,TriBeCa/Civic Center
6423,144,Manhattan,Little Italy/NoLiTa
6424,264,Unknown,NV
6425,170,Manhattan,Murray Hill
6426,163,Manhattan,Midtown North
6427,229,Manhattan,Sutton Place/Turtle Bay North
6428,249,Manhattan,West Village
6429,142,Manhattan,Lincoln Square East
6430,230,Manhattan,Times Sq/Theatre District
6431,143,Manhattan,Lincoln Square West
6432,238,Manhattan,Upper West Side North
6433,142,Manhattan,Lincoln Square East
6434,79,Manhattan,East Village
6435,142,Manhattan,Lincoln Square East
6436,230,Manhattan,Times Sq/Theatre District
6437,249,Manhattan,West Village
6438,48,Manhattan,Clinton East
6439,79,Manhattan,East Village
6440,161,Manhattan,Midtown Center
6441,263,Manhattan,Yorkville West
6442,263,Manhattan,Yorkville West
6443,142,Manhattan,Lincoln Square East
6444,114,Manhattan,Greenwich Village South
6445,230,Manhattan,Times Sq/Theatre District
6446,237,Manhattan,Upper East Side South
6447,132,Queens,JFK Airport
6448,161,Manhattan,Midtown Center
6449,230,Manhattan,Times Sq/Theatre District
6450,142,Manhattan,Lincoln Square East
6451,143,Manhattan,Lincoln Square West
6452,75,Manhattan,East Harlem South
6453,151,Manhattan,Manhattan Valley
6454,170,Manhattan,Murray Hill
6455,231,Manhattan,TriBeCa/Civic Center
6456,170,Manhattan,Murray Hill
6457,113,Manhattan,Greenwich Village North
6458,236,Manhattan,Upper East Side North
6459,237,Manhattan,Upper East Side South
6460,231,Manhattan,TriBeCa/Civic Center
6461,48,Manhattan,Clinton East
6462,238,Manhattan,Upper West Side North
6463,41,Manhattan,Central Harlem
6464,142,Manhattan,Lincoln Square East
6465,50,Manhattan,Clinton West
6466,132,Queens,JFK Airport
6467,107,Manhattan,Gramercy
6468,41,Manhattan,Central Harlem
6469,132,Queens,JFK Airport
6470,161,Manhattan,Midtown Center
6471,50,Manhattan,Clinton West
6472,144,Manhattan,Little Italy/NoLiTa
6473,50,Manhattan,Clinton West
6474,42,Manhattan,Central Harlem North
6475,233,Manhattan,UN/Turtle Bay South
6476,262,Manhattan,Yorkville East
6477,75,Manhattan,East Harlem South
6478,138,Queens,LaGuardia Airport
6479,236,Manhattan,Upper East Side North
6480,239,Manhattan,Upper West Side South
6481,249,Manhattan,West Village
6482,264,Unknown,NV
6483,138,Queens,LaGuardia Airport
6484,143,Manhattan,Lincoln Square West
6485,246,Manhattan,West Chelsea/Hudson Yards
6486,43,Manhattan,Central Park
6487,129,Queens,Jackson Heights
6488,263,Manhattan,Yorkville West
6489,48,Manhattan,Clinton East
6490,138,Queens,LaGuardia Airport
6491,249,Manhattan,West Village
6492,249,Manhattan,West Village
6493,229,Manhattan,Sutton Place/Turtle Bay North
6494,142,Manhattan,Lincoln Square East
6495,107,Manhattan,Gramercy
6496,107,Manhattan,Gramercy
6497,113,Manhattan,Greenwich Village North
6498,107,Manhattan,Gramercy
6499,238,Manhattan,Upper West Side North
6500,79,Manhattan,East Village
6501,68,Manhattan,East Chelsea
6502,161,Manhattan,Midtown Center
6503,113,Manhattan,Greenwich Village North
6504,263,Manhattan,Yorkville West
6505,114,Manhattan,Greenwich Village South
6506,137,Manhattan,Kips Bay
