BoroName,BoroCode,CTLabel,CT2010,BoroCT2010,CDEligibil,NTACode,NTAName,PUMA,Shape_Leng,Shape_Area
Brooklyn,3,154,15400,3015400,I,BK99,park-cemetery-etc-Brooklyn,4013,14530.43698,9969049.056
Brooklyn,3,302,30200,3030200,E,BK29,Bensonhurst East,4017,6921.914344,2273119.858
Brooklyn,3,304,30400,3030400,E,BK29,Bensonhurst East,4017,13700.97413,4992246.287
Brooklyn,3,182,18200,3018200,E,BK28,Bensonhurst West,4017,5730.247466,1781148.593
Brooklyn,3,382,38200,3038200,E,BK26,Gravesend,4018,6175.104204,2526926.392
Brooklyn,3,402,40200,3040200,E,BK29,Bensonhurst East,4017,5858.271772,2126179.776
Brooklyn,3,458,45800,3045800,E,BK43,Midwood,4015,7163.624036,1928211.694
Staten Island,5,105,10500,5010500,I,SI35,New Brighton-Silver Lake,3903,12556.27076,8794152.893
Staten Island,5,239,23900,5023900,E,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,3903,10994.8015,5676613.482
Bronx,2,200,20000,2020000,E,BX37,Van Nest-Morris Park-Westchester Square,3704,10985.00158,3678684.296
Bronx,2,286,28600,2028600,I,BX37,Van Nest-Morris Park-Westchester Square,3704,6083.963445,2117837.258
Bronx,2,205.02,20502,2020502,E,BX36,University Heights-Morris Heights,3707,4437.182203,1087823.775
Bronx,2,407.02,40702,2040702,E,BX05,Bedford Park-Fordham North,3706,6195.824423,1956959.121
Bronx,2,318,31800,2031800,E,BX31,Allerton-Pelham Gardens,3704,7249.431933,1919429.502
Queens,4,97,9700,4009700,I,QN72,Steinway,4101,6276.006033,2171669.718
Bronx,2,350,35000,2035000,E,BX31,Allerton-Pelham Gardens,3704,6357.087499,2066395.748
Bronx,2,458,45800,2045800,E,BX03,Eastchester-Edenwald-Baychester,3702,6478.787119,2582516.47
Bronx,2,460,46000,2046000,E,BX03,Eastchester-Edenwald-Baychester,3702,7510.861058,3096846.582
Staten Island,5,29,2900,5002900,E,SI37,Stapleton-Rosebank,3903,10895.3459,5669715.995
Staten Island,5,33,3300,5003300,I,SI08,Grymes Hill-Clifton-Fox Hills,3903,18608.85816,9209411.581
Queens,4,101,10100,4010100,E,QN72,Steinway,4101,5978.763117,1860062.495
Staten Island,5,133.01,13301,5013301,E,SI22,West New Brighton-New Brighton-St. George,3903,3426.122011,721333.3426
Staten Island,5,187.02,18702,5018702,I,SI05,New Springville-Bloomfield-Travis,3902,12952.0721,10788342.82
Bronx,2,351,35100,2035100,I,BX22,North Riverdale-Fieldston-Riverdale,3701,13027.48308,6208264.122
Bronx,2,338,33800,2033800,E,BX07,Bronxdale,3704,5944.424778,1737175.184
Brooklyn,3,1166,116600,3116600,E,BK82,East New York,4008,5251.656864,1715753.207
Brooklyn,3,1168,116800,3116800,E,BK82,East New York,4008,5447.520896,1549248.026
Brooklyn,3,1058.01,105801,3105801,E,BK93,Starrett City,4008,10687.62517,4521101.278
Brooklyn,3,425,42500,3042500,E,BK78,Bushwick South,4002,5251.939679,1806379.811
Brooklyn,3,389,38900,3038900,E,BK78,Bushwick South,4002,6785.379565,1753535.518
