pickup_longitude,pickup_latitude,PUcity,PUdistrict
-74.00389862,40.74293518,New York,Chelsea
-73.97000122,40.75322342,New York,Turtle Bay
-73.95371246,40.77495956,New York,Yorkville
-73.99147034,40.73246765,New York,Greenwich Village
-74.0018692,40.72045135,New York,Soho
-74.00704956,40.74414825,New York,Chelsea
-73.98099518,40.78141022,New York,Upper West Side
-73.97676849,40.73954391,New York,Kips Bay
-73.99298096,40.73426437,New York,Greenwich Village
-73.96755219,40.76405334,New York,Upper East Side
-73.95394897,40.77956772,New York,Upper East Side
-73.96633148,40.76194763,New York,Upper East Side
-73.95846558,40.77265549,New York,Upper East Side
-73.98039246,40.76454926,New York,Clinton
-73.97832489,40.73704529,New York,Kips Bay
-74.0018158,40.74091721,New York,Chelsea
-73.95178223,40.76958847,New York,Upper East Side
-73.9633255,40.77423859,New York,Upper East Side
-73.96315765,40.77329254,New York,Upper East Side
-73.98561859,40.74723816,New York,Koreatown
-73.97938538,40.78356171,New York,Upper West Side
-73.98194122,40.77157211,New York,Lincoln Square
-73.98961639,40.75240326,New York,Garment District
-73.98375702,40.74324036,New York,Kips Bay
-73.99756622,40.75662994,New York,Hells Kitchen
-73.985466,40.73550034,New York,Gramercy Park
-73.9704895,40.76532364,New York,Upper East Side
-74.00435638,40.75234604,New York,Chelsea
-73.97867584,40.75273132,New York,Midtown Center
-73.97879028,40.75260162,New York,Midtown Center
-73.98070526,40.76429367,New York,Clinton
-73.98500061,40.73577118,New York,Gramercy Park
-73.95179749,40.78452682,New York,Upper East Side
-73.97673035,40.7799263,New York,Upper West Side
-73.96878815,40.76108551,New York,Midtown Center
0,0,,
-74.00077057,40.72594833,New York,Soho
-73.9752121,40.76518631,New York,Midtown Center
-73.97041321,40.74912643,New York,Turtle Bay
-73.99671936,40.74287033,New York,Chelsea
-73.97267151,40.78240967,New York,Central Park
-73.97866058,40.76221085,New York,Midtown Center
-73.991745,40.7386055,New York,Flatiron District
-73.99531555,40.73083496,New York,Greenwich Village
-74.00881195,40.71226883,New York,Tribeca
-74.01252747,40.70330811,New York,Financial District
-73.99342346,40.75011444,New York,Chelsea
-73.9508667,40.77045822,New York,Upper East Side
-73.99100494,40.73620605,New York,Flatiron District
-73.99005127,40.76715851,New York,Clinton
-73.91596985,40.7727623,Astoria,Ditmars Steinway
-73.99178314,40.75439835,New York,Garment District
-73.9543457,40.77009583,New York,Upper East Side
-73.98322296,40.74129868,New York,Kips Bay
-73.9730072,40.75525665,New York,Midtown Center
-73.96723175,40.75577164,New York,Turtle Bay
-73.98849487,40.73139572,New York,Greenwich Village
-73.98841095,40.73727036,New York,Flatiron District
-73.95533752,40.77691269,New York,Yorkville
-73.97979736,40.7482338,New York,Murray Hill
-73.95990753,40.71376801,Brooklyn,Williamsburg
-73.99114227,40.75104523,New York,Chelsea
-73.95457458,40.76572418,New York,Upper East Side
-73.98323822,40.76974106,New York,Lincoln Square
-73.99331665,40.7215271,New York,Lower East Side
-74.00681305,40.70650101,New York,Financial District
-73.99320221,40.74742126,New York,Chelsea
-73.99047852,40.74038696,New York,Flatiron District
-73.97753906,40.75817108,New York,Midtown Center
-73.98240662,40.75743866,New York,Theater District-Times Square
-74.00888824,40.71377182,New York,Tribeca
-73.98175812,40.75688171,New York,Midtown Center
-73.95828247,40.76057053,New York,Upper East Side
-73.99092102,40.75009537,New York,Chelsea
-73.97687531,40.76590347,New York,Clinton
-73.9860611,40.73122025,New York,East Village
-73.97865295,40.76203156,New York,Midtown Center
-73.97646332,40.75915909,New York,Midtown Center
-73.98972321,40.7623558,New York,Clinton
-73.99210358,40.73469543,New York,Greenwich Village
-73.99753571,40.68362045,Brooklyn,Carroll Gardens
-73.94830322,40.77835846,New York,Yorkville
-73.98984528,40.73419189,New York,Greenwich Village
-73.94979095,40.77244949,New York,Yorkville
-73.99011993,40.74084854,New York,Flatiron District
-73.97910309,40.7525444,New York,Midtown South Central
-74.0160141,40.71120071,New York,Battery Park City
-73.95789337,40.70853424,Brooklyn,Williamsburg
-73.97994995,40.78119278,New York,Upper West Side
-73.95764923,40.77359772,New York,Upper East Side
-73.98495483,40.74237823,New York,Midtown South Central
-73.95963287,40.78278732,New York,Upper East Side
-73.86353302,40.76984787,Flushing,
-73.99208832,40.74990845,New York,Chelsea
-73.99495697,40.75249481,New York,Chelsea
-73.95973969,40.71820831,Brooklyn,Greenpoint
-73.987854,40.71914291,New York,Lower East Side
-73.95588684,40.77910614,New York,Upper East Side
-73.9941864,40.72452164,New York,Nolita
-73.9887085,40.74872208,New York,Chelsea
-73.9836731,40.74404526,New York,Midtown South Central
-73.96699524,40.78871918,New York,Upper West Side
-73.99191284,40.73101044,New York,Greenwich Village
-74.00617218,40.73377228,New York,West Village
-74.01059723,40.718853,New York,Tribeca
-73.98162842,40.78036118,New York,Upper West Side
-73.99227142,40.72135544,New York,Lower East Side
-73.95536041,40.82004166,New York,Harlem
-73.87447357,40.77396393,Flushing,
-73.99024963,40.74038696,New York,Flatiron District
-73.97741699,40.74662781,New York,Murray Hill
-73.9863205,40.75677872,New York,Theater District-Times Square
-74.00007629,40.74269485,New York,Chelsea
0,0,,
-73.99338531,40.75228119,New York,Garment District
-74.0076828,40.74296188,New York,Chelsea
-73.99130249,40.72386932,New York,East Village
-73.97368622,40.75996017,New York,Midtown Center
-73.98995972,40.7566185,New York,Theater District-Times Square
-73.96698761,40.80405426,New York,Upper West Side
-73.98704529,40.7395668,New York,Flatiron District
-73.97133636,40.78243637,New York,Upper West Side
-74.01599121,40.70632172,New York,Financial District
-73.99302673,40.74271774,New York,Chelsea
-73.98039246,40.76420212,New York,Clinton
-73.94940186,40.71720505,Brooklyn,Greenpoint
-73.97136688,40.79793167,New York,Upper West Side
0,0,,
-74.00572205,40.74057388,New York,Meatpacking District
-73.98974609,40.72022629,New York,Lower East Side
-73.97401428,40.74798584,New York,Murray Hill
-73.98075867,40.77469254,New York,Lincoln Square
