STT,pickup_longitude,pickup_latitude,PUcity,PUdistrict
211,-74.01013,40.7201,New York,Tribeca
212,-73.97795,40.78926,New York,Upper West Side
213,-73.96089,40.77547,New York,Upper East Side
214,-73.9484,40.78232,New York,Yorkville
215,-73.98789,40.7322,New York,East Village
216,-73.96499,40.80672,New York,Morningside Heights
217,-73.97861,40.76155,New York,Midtown Center
218,-73.98909,40.75876,New York,Clinton
219,-73.98883,40.76927,New York,Clinton
220,-73.98756,40.72542,New York,East Village
221,-73.99928,40.739,New York,Chelsea
222,-73.99767,40.72091,New York,Soho
223,-73.96188,40.76768,New York,Upper East Side
224,-73.97805,40.7522,New York,Midtown South Central
225,-74.0048,40.73758,New York,West Village
226,-73.95235,40.76577,New York,Upper East Side
227,-74.00033,40.76162,New York,Hells Kitchen
228,-73.99466,40.73319,New York,Greenwich Village
229,-73.97154,40.78212,New York,Upper West Side
230,-73.97801,40.75225,New York,Midtown South Central
231,-73.98829,40.73762,New York,Gramercy Park
232,-73.94061,40.71178,Brooklyn,East Williamsburg
233,-73.96005,40.7734,New York,Upper East Side
234,-73.98847,40.7505,New York,Garment District
235,-73.98561,40.70064,Brooklyn,Dumbo
236,-73.97449,40.75297,New York,Midtown Center
237,-73.98482,40.74771,New York,Midtown South Central
238,-74.00087,40.72584,New York,Soho
239,-73.95487,40.77763,New York,Upper East Side
240,-74.00613,40.73434,New York,West Village
241,-73.99025,40.75619,New York,Theater District-Times Square
242,-73.9766,40.75906,New York,Midtown Center
243,-73.99193,40.71496,New York,Chinatown
244,-73.78229,40.64473,Jamaica,
245,-73.95434,40.80593,New York,Harlem
246,-73.98235,40.77087,New York,Lincoln Square
247,-74.00571,40.75088,New York,Chelsea
248,-73.98567,40.76302,New York,Clinton
249,-73.96153,40.77161,New York,Upper East Side
250,-73.95294,40.78299,New York,Upper East Side
251,-74.01629,40.71124,New York,Battery Park City
252,-73.99177,40.74344,New York,Midtown South Central
253,-73.99216,40.75928,New York,Clinton
254,-73.98947,40.7294,New York,East Village
255,-73.98409,40.72716,New York,East Village
256,-73.98884,40.73658,New York,Gramercy Park
257,-73.97114,40.75783,New York,Midtown Center
258,-74.00589,40.73609,New York,West Village
259,-73.98613,40.72248,New York,East Village
260,-73.86614,40.77018,Flushing,
261,-73.98344,40.74419,New York,Kips Bay
262,-73.98969,40.7471,New York,Midtown South Central
263,-73.98287,40.73132,New York,East Village
264,-73.97277,40.76228,New York,Midtown Center
265,-73.97927,40.74437,New York,Kips Bay
266,-73.97263,40.7435,New York,Tudor City
267,-73.98721,40.75702,New York,Theater District-Times Square
268,-73.98058,40.73042,New York,East Village
269,-73.98856,40.73752,New York,Flatiron District
270,-73.99303,40.76794,New York,Clinton
271,-73.98844,40.77448,New York,Lincoln Square
272,-73.99304,40.73708,New York,Flatiron District
273,-74.00065,40.71841,New York,Chinatown
274,-73.95722,40.76792,New York,Upper East Side
275,-73.96329,40.76424,New York,Upper East Side
276,-73.99227,40.71507,New York,Chinatown
277,-73.98556,40.73535,New York,Gramercy Park
278,-73.87456,40.77413,Flushing,
279,-73.97867,40.73654,New York,Gramercy Park
280,-73.99722,40.7252,New York,Soho
281,-73.97114,40.75592,New York,Midtown Center
282,-73.98034,40.75144,New York,Midtown South Central
283,-73.97294,40.68966,Brooklyn,Fort Greene
284,-73.98286,40.76176,New York,Theater District-Times Square
285,-73.94174,40.7218,Brooklyn,Greenpoint
286,-73.98954,40.72552,New York,East Village
287,-73.98435,40.78008,New York,Upper West Side
288,-73.96336,40.76605,New York,Upper East Side
289,-73.98361,40.77484,New York,Lincoln Square
290,-73.94812,40.78287,New York,Yorkville
291,-73.98514,40.74741,New York,Midtown South Central
292,-73.95361,40.78206,New York,Upper East Side
293,-73.96261,40.71255,Brooklyn,Williamsburg
294,-73.97579,40.79179,New York,Upper West Side
295,-74.00613,40.73375,New York,West Village
296,-73.96254,40.77879,New York,Upper East Side
297,-73.97151,40.76287,New York,Midtown Center
298,-74.00143,40.72525,New York,Soho
299,-73.9978,40.75635,New York,Hells Kitchen
300,-73.95771,40.78227,New York,Upper East Side
